Generated by TimeView III
Date:;Mon May 17 17:09:19 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency

1178.14; 250012645.249718;
1179.14; 250012645.250407;
1180.14; 250012645.249975;
1181.15; 250012645.25141;
1182.15; 250012645.251299;
1183.15; 250012645.248332;
1184.15; 250012645.250345;
1185.15; 250012645.249083;
1186.15; 250012645.249823;
1187.15; 250012645.249045;
1188.15; 250012645.250665;
1189.15; 250012645.248972;
1190.15; 250012645.251298;
1191.16; 250012645.249925;
1192.16; 250012645.251001;
1193.16; 250012645.249716;
1194.16; 250012645.249883;
1195.16; 250012645.249674;
1196.16; 250012645.250685;
1197.16; 250012645.249617;
1198.16; 250012645.248311;
1199.16; 250012645.250083;
1200.17; 250012645.250112;
1201.17; 250012645.249633;
1202.17; 250012645.250415;
1203.17; 250012645.250053;
1204.17; 250012645.250007;
1205.17; 250012645.247653;
1206.17; 250012645.249672;
1207.17; 250012645.250303;
1208.17; 250012645.251071;
1209.17; 250012645.250703;
1210.17; 250012645.250311;
1211.18; 250012645.249636;
1212.18; 250012645.249925;
1213.18; 250012645.2483;
1214.18; 250012645.248449;
1215.18; 250012645.250511;
1216.18; 250012645.251387;
1217.18; 250012645.249807;
1218.18; 250012645.250186;
1219.18; 250012645.250397;
1220.19; 250012645.2499;
1221.19; 250012645.248431;
1222.19; 250012645.250244;
1223.19; 250012645.251316;
1224.19; 250012645.249796;
1225.19; 250012645.250438;
1226.19; 250012645.250985;
1227.19; 250012645.248436;
1228.19; 250012645.250388;
1229.19; 250012645.248447;
1230.2; 250012645.247584;
1231.2; 250012645.249126;
1232.2; 250012645.250965;
1233.2; 250012645.251626;
1234.2; 250012645.250265;
1235.2; 250012645.249768;
1236.2; 250012645.249108;
1237.2; 250012645.251119;
1238.2; 250012645.249489;
1239.2; 250012645.249307;
1240.2; 250012645.249813;
1241.21; 250012645.24964;
1242.21; 250012645.248615;
1243.21; 250012645.251011;
1244.21; 250012645.24946;
1245.21; 250012645.249808;
1246.21; 250012645.24952;
1247.21; 250012645.251579;
1248.21; 250012645.249266;
1249.21; 250012645.248911;
1250.22; 250012645.250536;
1251.22; 250012645.249144;
1252.22; 250012645.250156;
1253.22; 250012645.251541;
1254.22; 250012645.24908;
1255.22; 250012645.250786;
1256.22; 250012645.250986;
1257.22; 250012645.24991;
1258.22; 250012645.250387;
1259.22; 250012645.250504;
1260.23; 250012645.251772;
1261.23; 250012645.25102;
1262.23; 250012645.249495;
