Generated by TimeView III
Date:;Mon May 17 16:13:18 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency

861.82; 250012595.749242;
862.82; 250012595.75107;
863.82; 250012595.750502;
864.82; 250012595.7492;
865.83; 250012595.750179;
866.83; 250012595.750212;
867.83; 250012595.75139;
868.83; 250012595.750711;
869.83; 250012595.751122;
870.83; 250012595.750169;
871.83; 250012595.749675;
872.83; 250012595.749728;
873.83; 250012595.748585;
874.83; 250012595.750215;
875.83; 250012595.750366;
876.83; 250012595.746964;
877.84; 250012595.752231;
878.84; 250012595.7514;
879.84; 250012595.747588;
880.84; 250012595.748629;
881.84; 250012595.747894;
882.84; 250012595.749346;
883.84; 250012595.749759;
884.84; 250012595.750925;
885.85; 250012595.748629;
886.85; 250012595.750381;
887.85; 250012595.749918;
888.85; 250012595.748966;
889.85; 250012595.749337;
890.85; 250012595.749423;
891.85; 250012595.749784;
892.85; 250012595.749408;
893.85; 250012595.750848;
894.85; 250012595.751127;
895.86; 250012595.75066;
896.86; 250012595.750093;
897.86; 250012595.74975;
898.86; 250012595.74856;
899.86; 250012595.749859;
900.86; 250012595.751594;
901.86; 250012595.750455;
902.86; 250012595.750272;
903.86; 250012595.750821;
904.86; 250012595.74977;
905.86; 250012595.750551;
906.86; 250012595.749474;
907.87; 250012595.749857;
908.87; 250012595.750105;
909.87; 250012595.750274;
910.87; 250012595.752039;
911.87; 250012595.75099;
912.87; 250012595.749426;
913.87; 250012595.749229;
914.87; 250012595.748587;
915.88; 250012595.74945;
916.88; 250012595.74858;
917.88; 250012595.750888;
918.88; 250012595.748567;
919.88; 250012595.749259;
920.88; 250012595.750057;
921.88; 250012595.749309;
922.88; 250012595.748124;
923.88; 250012595.749824;
924.88; 250012595.74863;
925.89; 250012595.750017;
926.89; 250012595.751757;
927.89; 250012595.749879;
928.89; 250012595.74993;
929.89; 250012595.748916;
930.89; 250012595.74843;
931.89; 250012595.748554;
932.89; 250012595.747998;
933.89; 250012595.751728;
934.89; 250012595.750218;
935.89; 250012595.751304;
936.89; 250012595.751189;
937.9; 250012595.750691;
938.9; 250012595.748676;
939.9; 250012595.749843;
940.9; 250012595.749128;
941.9; 250012595.751008;
942.9; 250012595.750672;
943.9; 250012595.749395;
944.9; 250012595.75094;
945.91; 250012595.749947;
946.91; 250012595.749625;
947.91; 250012595.750318;
948.91; 250012595.748966;
949.91; 250012595.747321;
950.91; 250012595.750194;
951.91; 250012595.748593;
952.91; 250012595.749913;
953.91; 250012595.7508;
954.91; 250012595.750863;
955.92; 250012595.75047;
956.92; 250012595.748871;
957.92; 250012595.748569;
958.92; 250012595.751407;
959.92; 250012595.749893;
960.92; 250012595.749999;
961.92; 250012595.748858;
962.92; 250012595.748902;
963.92; 250012595.75101;
964.92; 250012595.749558;
965.92; 250012595.749517;
966.92; 250012595.750685;
967.93; 250012595.748278;
968.93; 250012595.747932;
969.93; 250012595.749966;
970.93; 250012595.751461;
971.93; 250012595.750305;
972.93; 250012595.751155;
973.93; 250012595.749419;
974.93; 250012595.749998;
975.94; 250012595.750013;
976.94; 250012595.75003;
977.94; 250012595.749341;
978.94; 250012595.750854;
979.94; 250012595.749437;
980.94; 250012595.749747;
981.94; 250012595.748482;
982.94; 250012595.748551;
983.94; 250012595.750123;
984.94; 250012595.749259;
985.95; 250012595.748644;
986.95; 250012595.750298;
987.95; 250012595.750633;
988.95; 250012595.751198;
989.95; 250012595.750394;
990.95; 250012595.750711;
991.95; 250012595.751074;
992.95; 250012595.749231;
993.95; 250012595.751167;
994.95; 250012595.753311;
995.95; 250012595.750316;
996.95; 250012595.750176;
997.96; 250012595.750996;
998.96; 250012595.750247;
999.96; 250012595.75034;
1000.96; 250012595.749068;
1001.96; 250012595.751433;
1002.96; 250012595.74966;
1003.96; 250012595.751076;
1004.96; 250012595.750707;
1005.97; 250012595.75008;
1006.97; 250012595.749849;
1007.97; 250012595.751438;
1008.97; 250012595.750941;
1009.97; 250012595.750999;
1010.97; 250012595.749392;
1011.97; 250012595.750756;
1012.97; 250012595.747858;
1013.97; 250012595.750956;
1014.97; 250012595.750363;
1015.97; 250012595.749741;
1016.98; 250012595.749534;
1017.98; 250012595.750506;
1018.98; 250012595.748926;
1019.98; 250012595.749199;
1020.98; 250012595.749224;
1021.98; 250012595.74837;
1022.98; 250012595.750676;
1023.98; 250012595.748573;
1024.98; 250012595.749728;
1025.98; 250012595.752592;
1026.98; 250012595.75258;
1027.99; 250012595.749009;
1028.99; 250012595.751265;
1029.99; 250012595.750748;
1030.99; 250012595.749182;
1031.99; 250012595.752173;
1032.99; 250012595.751608;
1033.99; 250012595.749705;
