Generated by TimeView III
Date:;Mon May 17 15:22:51 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency

642.6; 250012447.499717;
643.6; 250012447.500185;
644.6; 250012447.501091;
645.6; 250012447.501141;
646.6; 250012447.501388;
647.6; 250012447.500583;
648.6; 250012447.500149;
649.6; 250012447.500136;
650.6; 250012447.500158;
651.6; 250012447.499254;
652.6; 250012447.497929;
653.61; 250012447.500065;
654.61; 250012447.499029;
655.61; 250012447.500659;
656.61; 250012447.499415;
657.61; 250012447.499647;
658.61; 250012447.500268;
659.61; 250012447.499222;
660.61; 250012447.498514;
661.61; 250012447.501424;
662.61; 250012447.499311;
663.61; 250012447.499551;
664.61; 250012447.500518;
665.61; 250012447.500695;
666.61; 250012447.49897;
667.61; 250012447.499961;
668.61; 250012447.499181;
669.62; 250012447.500612;
670.62; 250012447.502214;
671.62; 250012447.499543;
672.62; 250012447.499476;
673.62; 250012447.500907;
674.62; 250012447.499624;
675.62; 250012447.49904;
676.62; 250012447.500873;
677.62; 250012447.500309;
678.62; 250012447.50012;
679.62; 250012447.500426;
680.62; 250012447.50134;
681.63; 250012447.500953;
682.63; 250012447.499523;
683.63; 250012447.499086;
684.63; 250012447.499154;
685.63; 250012447.502597;
686.63; 250012447.499876;
687.63; 250012447.498853;
688.63; 250012447.500806;
689.63; 250012447.501698;
690.63; 250012447.498007;
691.63; 250012447.499633;
692.64; 250012447.500254;
693.64; 250012447.497759;
694.64; 250012447.500472;
695.64; 250012447.500547;
696.64; 250012447.500114;
697.64; 250012447.499665;
698.64; 250012447.499694;
699.64; 250012447.500533;
700.64; 250012447.499368;
701.65; 250012447.500983;
702.65; 250012447.499817;
703.65; 250012447.500029;
704.65; 250012447.500468;
705.65; 250012447.500504;
706.65; 250012447.501858;
707.65; 250012447.500102;
708.65; 250012447.500964;
709.65; 250012447.499673;
710.65; 250012447.499343;
711.66; 250012447.500661;
712.66; 250012447.499978;
713.66; 250012447.499199;
714.66; 250012447.500532;
715.66; 250012447.501971;
716.66; 250012447.50089;
717.66; 250012447.50067;
718.66; 250012447.498871;
719.66; 250012447.498488;
720.66; 250012447.500682;
721.66; 250012447.500839;
722.66; 250012447.499039;
723.67; 250012447.499691;
724.67; 250012447.501359;
725.67; 250012447.499137;
726.67; 250012447.501144;
727.67; 250012447.499286;
728.67; 250012447.49893;
729.67; 250012447.501153;
730.67; 250012447.500244;
731.67; 250012447.499864;
732.68; 250012447.500814;
733.68; 250012447.499133;
734.68; 250012447.499083;
735.68; 250012447.499541;
736.68; 250012447.500981;
737.68; 250012447.499594;
738.68; 250012447.500916;
739.68; 250012447.498993;
740.68; 250012447.500573;
741.69; 250012447.501254;
742.69; 250012447.499122;
743.69; 250012447.499204;
744.69; 250012447.5003;
745.69; 250012447.50111;
746.69; 250012447.501178;
747.69; 250012447.499148;
748.69; 250012447.501357;
749.69; 250012447.499733;
750.69; 250012447.500386;
751.69; 250012447.501148;
752.69; 250012447.498715;
753.7; 250012447.50073;
754.7; 250012447.499888;
755.7; 250012447.501175;
756.7; 250012447.49989;
757.7; 250012447.499158;
758.7; 250012447.499303;
